title,author(s),average_rating,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,genres
harry potter and the half-blood prince (harry potter  #6),j.k. rowling/mary grandpré,4.57,9780439785969,eng,652,2095690,27591,9/16/2006,Scholastic Inc.,"['fiction', 'magic', 'witches', 'school stories', 'family', 'fantasy', 'coming of age']"
harry potter and the order of the phoenix (harry potter  #5),j.k. rowling/mary grandpré,4.49,9780439358071,eng,870,2153167,29221,9/1/2004,Scholastic Inc.,"['magic', 'fiction', 'fantasy', 'coming of age', 'school stories', 'family', 'witches', 'witchcraft', 'english literature']"
harry potter and the chamber of secrets (harry potter  #2),j.k. rowling,4.42,9780439554893,eng,352,6333,244,11/1/2003,Scholastic,"['school stories', 'fiction', 'fantasy', 'magic', 'witches', 'witchcraft', 'english literature', 'family', 'juvenile', 'social issues', 'humor', 'adventure']"
harry potter and the prisoner of azkaban (harry potter  #3),j.k. rowling/mary grandpré,4.56,9780439655484,eng,435,2339585,36325,5/1/2004,Scholastic Inc.,"['fantasy', 'literature', 'adventure', 'magic', 'witches', 'school stories', 'family', 'fiction', 'english literature']"
harry potter boxed set  books 1-5 (harry potter  #1-5),j.k. rowling/mary grandpré,4.78,9780439682589,eng,2690,41428,164,9/13/2004,Scholastic,[]
"unauthorized harry potter book seven news: ""half-blood prince"" analysis and speculation",w. frederick zimmerman,3.74,9780976540601,en-US,152,19,1,4/26/2005,Nimble Books,[]
harry potter collection (harry potter  #1-6),j.k. rowling,4.73,9780439827607,eng,3342,28242,808,9/12/2005,Scholastic,[]
the ultimate hitchhiker's guide: five complete novels and one story (hitchhiker's guide to the galaxy  #1-5),douglas adams,4.38,9780517226957,eng,815,3628,254,11/1/2005,Gramercy Books,"['science fiction', 'fiction', 'english literature', 'short stories']"
the ultimate hitchhiker's guide to the galaxy (hitchhiker's guide to the galaxy  #1-5),douglas adams,4.38,9780345453747,eng,815,249558,4080,4/30/2002,Del Rey Books,"['science fiction', 'fiction', 'english literature', 'short stories']"
the hitchhiker's guide to the galaxy (hitchhiker's guide to the galaxy  #1),douglas adams,4.22,9781400052929,eng,215,4930,460,8/3/2004,Crown,"['science fiction', 'fiction', 'english literature', 'adventure', 'space opera']"
the hitchhiker's guide to the galaxy (hitchhiker's guide to the galaxy  #1),douglas adams/stephen fry,4.22,9780739322208,eng,6,1266,253,3/23/2005,Random House Audio,"['science fiction', 'fiction', 'english literature', 'adventure', 'space opera']"
the ultimate hitchhiker's guide (hitchhiker's guide to the galaxy  #1-5),douglas adams,4.38,9780517149256,eng,815,2877,195,1/17/1996,Wings Books,"['science fiction', 'fiction', 'english literature', 'short stories']"
a short history of nearly everything,bill bryson,4.21,9780767908184,eng,544,248558,9396,9/14/2004,Broadway Books,"['science', 'humor', 'travel', 'philosophy', 'nonfiction', 'popular science']"
bill bryson's african diary,bill bryson,3.44,9780767915069,eng,55,7270,499,12/3/2002,Broadway Books,"['nonfiction', 'travel']"
bryson's dictionary of troublesome words: a writer's guide to getting it right,bill bryson,3.87,9780767910439,eng,256,2088,131,9/14/2004,Broadway Books,"['nonfiction', 'language']"
in a sunburned country,bill bryson,4.07,9780767903868,eng,335,72451,4245,5/15/2001,Broadway Books,"['travel', 'nonfiction', 'australia', 'humor']"
i'm a stranger here myself: notes on returning to america after twenty years away,bill bryson,3.9,9780767903820,eng,304,49240,2211,6/28/2000,Broadway Books,"['nonfiction', 'travel']"
the lost continent: travels in small town america,bill bryson,3.83,9780060920081,eng,299,45712,2257,8/28/1990,William Morrow Paperbacks,"['travel', 'nonfiction']"
neither here nor there: travels in europe,bill bryson,3.86,9780380713806,eng,254,48701,2238,3/28/1993,William Morrow Paperbacks,"['travel', 'nonfiction']"
notes from a small island,bill bryson,3.91,9780380727506,eng,324,80609,3301,5/28/1997,William Morrow Paperbacks,"['20th century', 'travel', 'nonfiction']"
